driverId,circuitId,lap,statusId,position_lap,driver_name
844,7,33,1,4,Charles Leclerc
825,11,55,11,18,Kevin Magnussen
825,11,51,11,18,Kevin Magnussen
856,4,46,11,14,Nyck de Vries
855,70,12,11,13,Guanyu Zhou
832,24,40,1,5,Carlos Sainz
848,13,35,1,10,Alexander Albon
817,70,60,11,9,Daniel Ricciardo
817,14,42,44,8,Daniel Ricciardo
1,11,62,1,4,Lewis Hamilton
842,39,15,1,14,Pierre Gasly
844,70,46,1,2,Charles Leclerc
844,73,1,1,1,Charles Leclerc
846,39,12,1,7,Lando Norris
847,9,5,1,5,George Russell
815,70,16,1,3,Sergio Pérez
855,79,36,1,17,Guanyu Zhou
842,7,17,1,17,Pierre Gasly
852,6,12,11,18,Yuki Tsunoda
830,9,31,1,8,Max Verstappen
852,13,43,1,14,Yuki Tsunoda
854,4,2,11,6,Mick Schumacher
844,15,20,1,2,Charles Leclerc
815,9,10,1,12,Sergio Pérez
822,13,24,1,11,Valtteri Bottas
815,6,44,12,19,Sergio Pérez
840,11,37,11,14,Lance Stroll
856,6,71,11,12,Nyck de Vries
815,39,72,1,6,Sergio Pérez
847,34,16,1,4,George Russell
1,70,64,1,3,Lewis Hamilton
817,15,46,1,5,Daniel Ricciardo
4,4,13,1,6,Fernando Alonso
1,6,20,1,9,Lewis Hamilton
830,24,47,1,1,Max Verstappen
4,9,3,1,7,Fernando Alonso
846,13,37,1,12,Lando Norris
822,6,38,11,13,Valtteri Bottas
830,9,19,1,6,Max Verstappen
4,15,14,5,6,Fernando Alonso
844,77,48,1,7,Charles Leclerc
830,6,39,1,1,Max Verstappen
20,39,20,1,17,Sebastian Vettel
4,6,47,1,7,Fernando Alonso
4,77,23,1,2,Fernando Alonso
822,3,23,1,12,Valtteri Bottas
855,77,45,1,13,Guanyu Zhou
840,15,29,1,9,Lance Stroll
842,32,12,11,16,Pierre Gasly
842,7,20,1,18,Pierre Gasly
846,15,6,1,5,Lando Norris
1,21,54,11,14,Lewis Hamilton
839,77,11,1,7,Esteban Ocon
842,79,45,1,6,Pierre Gasly
848,70,54,1,11,Alexander Albon
822,22,21,1,13,Valtteri Bottas
849,18,11,1,14,Nicholas Latifi
1,77,49,1,10,Lewis Hamilton
847,1,4,5,1,George Russell
852,79,35,1,18,Yuki Tsunoda
852,24,50,1,12,Yuki Tsunoda
842,34,15,1,14,Pierre Gasly
840,18,39,1,12,Lance Stroll
815,39,17,1,7,Sergio Pérez
847,3,44,1,6,George Russell
840,3,30,1,8,Lance Stroll
